"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Accipiter_gentilis";"Accipiter_nisus";"Aegithalos_caudatus";"Anthus_campestris";"Buteo_buteo";"Caprimulgus_europaeus";"Carduelis_cannabina";"Carduelis_carduelis";"Carduelis_chloris";"Certhia_brachydactyla";"Clamator_glandarius";"Circaetus_gallicus";"Cisticola_juncidis";"Columba_palumbus";"Cuculus_canorus";"Dendrocopos_major";"Miliaria_calandra";"Emberiza_cirlus";"Erithacus_rubecula";"Falco_subbuteo";"Falco_tinnunculus";"Fringilla_coelebs";"Galerida_cristata";"Garrulus_glandarius";"Hippolais_polyglotta";"Lanius_collurio";"Lanius_meridionalis";"Lanius_senator";"Luscinia_megarhynchos";"Merops_apiaster";"Motacilla_alba";"Muscicapa_striata";"Oriolus_oriolus";"Parus_caeruleus";"Parus_cristatus";"Parus_major";"Passer_domesticus";"Phylloscopus_bonelli";"Petronia_petronia";"Pernis_apivorus";"Picus_viridis";"Regulus_ignicapilla";"Saxicola_torquatus";"Serinus_serinus";"Streptopelia_turtur";"Sylvia_atricapilla";"Sylvia_melanocephala";"Sylvia_undata";"Sturnus_vulgaris";"Troglodytes_troglodytes";"Turdus_merula";"Turdus_philomelos";"Turdus_viscivorus";"Lullula_arborea";"Sylvia_cantillans"
"15";"Rost-116";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0,377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,341;0;0;0;0,389;0;0;0;0;0;0;1,851;0
"16";"Rost-117";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,259;0;0;0;0;0;0,539;0;0;0;0;0;0;0,259;0;0;0;0;0;0;0;0;0;0;0;0;0,373;0;0;0;0;0;0;0;0;0;0;1,36;0
"17";"Rost-118";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,234;0;0;0,371;0;0;0;0;0;0,234;0;0;0;0,234;0;0;0;0;0;0,486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,383;0;0;0;0;0;0;0,711;0
"18";"Rost-119";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;1,747;0;0;0;0;0;0,275;0;0;0;0;0;0;0;0;0;1,143;0;0,607;0;0;0;0;0,824;0;0;0;0;0;0;0;0;0;0;0;0;0,791;0;0,549;0;0,451;0;0;0;0;0;0;0;0
"19";"Rost-12";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;1,507;0,568;0;0;0;0;0,357;0;0;0;0;0;0;0;0,757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,714;0;0;0;0;0;0;0;0;0;0
"20";"Rost-120";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,029;0;0;0;0,586;0;0;0;0;0;0;1,28;0
"21";"Rost-121";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,41;0;0;0;0;0;0;0,594;0;0;0;1,541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,672;0;0;0;0;0;0;0;0
"22";"Rost-122";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,346;0;0;0;0,788;1,048;0;0;0;0;0;0,617;0
"23";"Rost-123";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,477;0,727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,947;0;0;0;0,539;0;0;0;0;0;0;1,234;1,423
"24";"Rost-124";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,546;0;0;0,464;0;0;0;0;0;0;0;0;0;0;0,494;0;0;0;0;0;0;0;1,215;1,077;0;0;0;0;0;0;1,389
