id;species;weight_mean;clutchsize_mean;nest_position;migration;nocturnal;foraging.substrate_water;foraging.substrate_mud;foraging.substrate_ground;foraging.substrate_trunk;foraging.substrate_vegetation;foraging.substrate_air;foraging.method_pursuit;foraging.method_gleaning;foraging.method_pouncing;foraging.method_grazing;foraging.method_digging;foraging.method_scavenging;foraging.method_probing;diet_plant;diet_vertebrates;diet_invertebrates
134;Molothrus_ater;44;10;canopy;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
135;Motacilla_alba;21.1;5.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
136;Motacilla_cinerea;17.5;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
137;Muscicapa_sibirica;10.2;3.5;hole;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1
138;Muscicapa_striata;17;5;hole;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
139;Myadestes_townsendi;27.5;3.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
140;Nucifraga_columbiana;141;3;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
141;Oenanthe_hispanica;17.2;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
142;Oenanthe_oenanthe;25.5;5.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
143;Oporornis_tolmiei;10.6;4;canopy;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
144;Oreortyx_pictus;239.5;10;ground;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
145;Oriolus_chinensis;82.5;3;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
146;Oriolus_oriolus;72;4;canopy;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
147;Pandion_haliaetus;1520;3;canopy;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
148;Parus_ater;9.5;9;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
149;Parus_atricapillus;11.5;7;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
